                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40748,                 2.8352,                 1.0057,                0.00847,                      1,                0.11706,                0.08798,                0.52636,                 2.9387,                0.83451,                      0,                      0,                      0
                      2,                0.96602,                 2.8586,                 1.6268,                 0.0083,                      1,                0.23643,                0.17278,                0.51416,                 2.9388,                0.82647,             1.5845e-05,             1.5845e-05,             1.5845e-05
                      3,                 1.3469,                   3.21,                 1.6003,                0.00833,                      1,                0.27611,                0.20449,                0.50817,                 2.9395,                0.83464,             3.0039e-05,             3.0039e-05,             3.0039e-05
                      4,                0.88849,                 2.8699,                 1.2413,                0.00833,                      1,                0.22111,                0.12331,                0.50382,                 2.9385,                0.84652,             4.2584e-05,             4.2584e-05,             4.2584e-05
                      5,                0.74399,                 2.9431,                 1.2757,                 0.0083,                      1,                0.33841,                0.27533,                0.49431,                 2.9392,                0.84745,             5.3477e-05,             5.3477e-05,             5.3477e-05
                      6,                0.73617,                 2.8995,                 1.3865,                0.00851,                      1,                 0.4475,                0.30311,                 0.5185,                 2.9378,                0.83674,             6.2721e-05,             6.2721e-05,             6.2721e-05
                      7,                0.81303,                 2.8089,                 1.3093,                0.00881,                      1,                  0.995,                0.67956,                 0.5038,                 2.9398,                0.80949,             7.0314e-05,             7.0314e-05,             7.0314e-05
                      8,                 0.6802,                 2.7252,                 1.3742,                0.00877,                      1,                  0.995,                0.69622,                0.46917,                 2.9351,                 0.7573,             7.6257e-05,             7.6257e-05,             7.6257e-05
                      9,                  0.717,                 2.7512,                 1.3345,                0.00877,                      1,                  0.995,                0.69622,                0.44622,                 2.9259,                0.71906,             8.0549e-05,             8.0549e-05,             8.0549e-05
                     10,                0.57764,                 2.6901,                 1.1744,                0.00847,                      1,                  0.995,                0.84561,                0.40338,                  2.914,                0.66492,             8.3192e-05,             8.3192e-05,             8.3192e-05
                     11,                0.52368,                 3.7735,                 1.1623,                 0.0081,                      1,                  0.995,                 0.8456,                 0.3517,                 2.9029,                0.60458,             8.4183e-05,             8.4183e-05,             8.4183e-05
                     12,                 1.1659,                 4.0696,                 1.5251,                0.00784,                      1,                  0.995,                 0.8955,                0.35479,                 2.9023,                0.61057,             8.3525e-05,             8.3525e-05,             8.3525e-05
                     13,                0.39288,                 3.4992,                 0.7999,                0.00749,                      1,                  0.995,                 0.8955,                0.31607,                 2.8967,                0.58577,             8.1216e-05,             8.1216e-05,             8.1216e-05
                     14,                0.36813,                 2.9711,                0.99012,                0.00725,                      1,                  0.995,                0.84559,                0.28379,                 2.8912,                0.56412,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     15,                0.19444,                 3.6753,                0.85056,                0.00704,                      1,                  0.995,                0.74609,                0.26086,                 2.8811,                0.54367,             7.1648e-05,             7.1648e-05,             7.1648e-05
                     16,                0.22064,                 5.1123,                0.60091,                 0.0069,                      1,                0.82833,                0.58275,                 0.2571,                 2.8766,                0.52979,             6.4388e-05,             6.4388e-05,             6.4388e-05
                     17,                 0.2067,                 4.0896,                0.72797,                0.00683,                      1,                0.82833,                0.53817,                0.25196,                 2.8703,                0.52412,             5.5478e-05,             5.5478e-05,             5.5478e-05
                     18,                0.20978,                 2.9571,                 1.0481,                0.00683,                      1,                0.82833,                0.53817,                0.25196,                 2.8703,                0.52412,             4.4917e-05,             4.4917e-05,             4.4917e-05
                     19,                0.17819,                 5.0679,                0.66092,                0.00685,                      1,                  0.995,                 0.6215,                 0.2545,                 2.8687,                0.53041,             3.2707e-05,             3.2707e-05,             3.2707e-05
                     20,                 1.4244,                 6.8978,                  1.685,                0.00685,                      1,                  0.995,                 0.6215,                 0.2545,                 2.8687,                0.53041,             1.8845e-05,             1.8845e-05,             1.8845e-05
